Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"41770DO001_201314  Involvement in Organised Sport and Physical Activity, Australia, 2013-14",,,,,,,,
Released at 11:30 am (Canberra time) Wednesday 18 Feburary 2015,,,,,,,,
"Table 3 PERSONS INVOLVED IN ORGANISED SPORT AND PHYSICAL ACTIVITY, Player status, By sex and selected characteristics",,,,,,,,
,Involved in playing role only,Involved in playing and non-playing role(s),Involved in non-playing role(s) only,All persons involved in playing role,All persons involved in non-playing role(s),All persons involved,Persons with no involvement,Total persons
,(A),(B),(C),(A + B),(B + C),(A + B + C),(D),(A + B + C + D)
NUMBER OF MALES ('000),,,,,,,,
Age group (years),,,,,,,,
15–24 years,520.5,138.1,9.7,653.2,154.8,668,882.7,1558.1
25–34 years,423.6,91.7,29.2,516.8,116.1,540.9,1125.3,1670.2
35–44 years,258.4,120.4,82.2,376.7,208.5,465.7,1091.5,1557.5
45–54 years,247.1,86.8,67.1,333.1,148.1,396.4,1099.3,1492
55–64 years,173.2,52.2,35.4,222.3,85.5,255.4,1044.5,1307.6
65 years and over,208.6,65.2,19.2,265.7,82.5,290.1,1233.2,1522.3
State or territory of usual residence,,,,,,,,
New South Wales,652.2,168.2,44.5,820.4,205.8,855.8,2050.1,2916.4
Victoria,418.7,172.3,98.3,584.9,262.2,681.1,1600.5,2295.2
Queensland,323.2,51.5,51.8,384.4,104.5,424.5,1378.9,1809.7
South Australia,130.7,48,23.1,176,77.1,203.9,459.2,663.8
Western Australia,212.9,65.6,21.8,275.4,87.7,291.3,706.1,997.5
Tasmania,44.4,20.6,6.2,64.8,27.8,71.4,131.6,203.5
Northern Territory,16,7.7,1.3,23.3,9.6,25.3,48.7,73.3
Australian Capital Territory,40.1,12.5,3.6,52,15.8,55.6,90,146.1
Total,1834.9,544.6,248,2374.4,788.7,2618.5,6473.7,9097.2
PROPORTION OF MALES (%),,,,,,,,
Age group (years),,,,,,,,
15–24 years,33.4,8.9,0.6,41.9,9.9,42.9,56.7,100
25–34 years,25.4,5.5,1.7,30.9,6.9,32.4,67.4,100
35–44 years,16.6,7.7,5.3,24.2,13.4,29.9,70.1,100
45–54 years,16.6,5.8,4.5,22.3,9.9,26.6,73.7,100
55–64 years,13.2,4,2.7,17,6.5,19.5,79.9,100
65 years and over,13.7,4.3,1.3,17.5,5.4,19.1,81,100
State or territory of usual residence,,,,,,,,
New South Wales,22.4,5.8,1.5,28.1,7.1,29.3,70.3,100
Victoria,18.2,7.5,4.3,25.5,11.4,29.7,69.7,100
Queensland,17.9,2.8,2.9,21.2,5.8,23.5,76.2,100
South Australia,19.7,7.2,3.5,26.5,11.6,30.7,69.2,100
Western Australia,21.3,6.6,2.2,27.6,8.8,29.2,70.8,100
Tasmania,21.8,10.1,3,31.8,13.7,35.1,64.7,100
Northern Territory,21.9,10.5,1.7,31.8,13.1,34.5,66.5,100
Australian Capital Territory,27.4,8.6,2.4,35.6,10.8,38,61.6,100
Total,20.2,6,2.7,26.1,8.7,28.8,71.2,100
NUMBER OF FEMALES ('000),,,,,,,,
Age group (years),,,,,,,,
15–24,487.1,139.2,12.4,633.8,155,658.9,826.3,1483.2
25–34,418,53,24.7,468.5,76.1,489.1,1195.1,1686.4
35–44,338.5,82.7,81.1,419.1,169.2,502.4,1116.5,1619.9
45–54,230.2,74.4,52.8,310.6,125.1,361.2,1193.3,1556.8
55–64,202.1,37,17.8,236.4,54.8,259.9,1088,1343.2
65 and over,249.6,32.2,9.3,277.6,40,287,1403.1,1687.5
State or territory of usual residence,,,,,,,,
New South Wales,656,111.8,64.1,758.1,167.8,824,2195.3,3013.8
Victoria,511.7,137.1,44.1,657.5,199.8,705.3,1670.3,2372.1
Queensland,352.9,43.6,35.5,399.4,76.7,434,1435,1863.7
South Australia,103.7,41.5,18.7,150.9,62.4,168.2,517.4,686.5
Western Australia,204.1,53.3,37.8,252.3,87,287.2,719.8,1006.9
Tasmania,48.3,11.9,7.8,59.9,18.8,66.4,140.7,207.3
Northern Territory,15.8,4.4,1.6,20,6.6,21.4,46.8,69.1
Australian Capital Territory,44.2,6.7,2.7,49.6,10.9,53.5,99.2,153
Total,1930.5,420.6,206.6,2347.8,626.1,2558.9,6816.9,9377.8
PROPORTION OF FEMALES (%),,,,,,,,
Age group (years),,,,,,,,
15–24,32.8,9.4,0.8,42.7,10.4,44.4,55.7,100
25–34,24.8,3.1,1.5,27.8,4.5,29,70.9,100
35–44,20.9,5.1,5,25.9,10.4,31,68.9,100
45–54,14.8,4.8,3.4,19.9,8,23.2,76.7,100
55–64,15,2.8,1.3,17.6,4.1,19.3,81,100
65 and over,14.8,1.9,0.6,16.4,2.4,17,83.1,100
State or territory of usual residence,,,,,,,,
New South Wales,21.8,3.7,2.1,25.2,5.6,27.3,72.8,100
Victoria,21.6,5.8,1.9,27.7,8.4,29.7,70.4,100
Queensland,18.9,2.3,1.9,21.4,4.1,23.3,77,100
South Australia,15.1,6,2.7,22,9.1,24.5,75.4,100
Western Australia,20.3,5.3,3.8,25.1,8.6,28.5,71.5,100
Tasmania,23.3,5.8,3.8,28.9,9.1,32,67.9,100
Northern Territory,22.8,6.3,2.4,29,9.5,31,67.8,100
Australian Capital Territory,28.9,4.3,1.8,32.4,7.1,35,64.9,100
Total,20.6,4.5,2.2,25,6.7,27.3,72.7,100
NUMBER OF PERSONS ('000),,,,,,,,
Age group (years),,,,,,,,
15–24,1014.8,288.9,30.4,1296.2,315.8,1326.8,1708.9,3032
25–34,836.9,139.9,51.8,978.1,195.1,1034.5,2322.6,3357.2
35–44,592.8,200.9,164.5,798.9,375.5,965,2209.5,3176.6
45–54,485.5,162.8,118.6,643.7,275.6,762.3,2284.2,3046.5
55–64,373.7,87.1,58.4,465.6,142.1,514.7,2130.9,2651.5
65 and over,458,95.6,28.3,549,119.4,575.6,2632.8,3211.2
State or territory of usual residence,,,,,,,,
New South Wales,1296.2,273.4,112.3,1577.9,386.1,1688.4,4247.4,5931.8
Victoria,924.9,318.3,137.9,1244.7,457.8,1394.4,3278.1,4657.9
Queensland,679.3,99.7,79.7,783.4,179.3,860.1,2817.3,3676
South Australia,232.5,93.8,43.8,325.4,138.6,372.9,978.4,1351.2
Western Australia,414.3,108.9,52.2,522.4,170,574.7,1434.6,2013.4
Tasmania,92.5,32.4,13.8,124.5,46.4,137.7,272.9,410.7
Northern Territory,31.4,12.1,3.4,43.4,15.4,46.7,95.8,141.8
Australian Capital Territory,84.9,18.9,7.5,103,25.2,109.6,189.9,299.3
Total,3758.1,971.2,451.9,4727,1420.8,5180.1,13296.3,18474
PROPORTION OF PERSONS (%),,,,,,,,
Age group (years),,,,,,,,
15–24,33.5,9.5,1,42.7,10.4,43.8,56.4,100
25–34,24.9,4.2,1.5,29.1,5.8,30.8,69.2,100
35–44,18.7,6.3,5.2,25.1,11.8,30.4,69.6,100
45–54,15.9,5.3,3.9,21.1,9,25,75,100
55–64,14.1,3.3,2.2,17.6,5.4,19.4,80.4,100
65 and over,14.3,3,0.9,17.1,3.7,17.9,82,100
State or territory of usual residence,,,,,,,,
New South Wales,21.9,4.6,1.9,26.6,6.5,28.5,71.6,100
Victoria,19.9,6.8,3,26.7,9.8,29.9,70.4,100
Queensland,18.5,2.7,2.2,21.3,4.9,23.4,76.6,100
South Australia,17.2,6.9,3.2,24.1,10.3,27.6,72.4,100
Western Australia,20.6,5.4,2.6,25.9,8.4,28.5,71.3,100
Tasmania,22.5,7.9,3.4,30.3,11.3,33.5,66.4,100
Northern Territory,22.1,8.5,2.4,30.6,10.9,32.9,67.5,100
Australian Capital Territory,28.4,6.3,2.5,34.4,8.4,36.6,63.5,100
Total,20.3,5.3,2.4,25.6,7.7,28,72,100
,,,,,,,,
,,,,,,,,
© Commonwealth of Australia 2015,,,,,,,,
