Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"41770DO001_201314  Involvement in Organised Sport and Physical Activity, Australia, 2013-14",,,,,,,,
Released at 11:30 am (Canberra time) Wednesday 18 Feburary 2015,,,,,,,,
"Table 3a PERSONS INVOLVED IN ORGANISED SPORT AND PHYSICAL ACTIVITY, Player status, By sex and selected characteristics: Relative standard error",,,,,,,,
,Involved in playing role only,Involved in playing and non-playing role(s),Involved in non-playing role(s) only,All persons involved in playing role,All persons involved in non-playing role(s),All persons involved,Persons with no involvement,Total persons
,(A),(B),(C),(A + B),(B + C),(A + B + C),(D),(A + B + C + D)
NUMBER OF MALES (RSE (%),,,,,,,,
Age group (years),,,,,,,,
15–24 years,6,14.7,,5.1,13.3,4.8,3.6,0.5
25–34 years,4.3,21.6,31.9,4.7,16.5,4.3,2.1,0.5
35–44 years,8.2,13.4,12.8,6.2,8.3,5.4,2.3,0.3
45–54 years,10.7,15.3,19.6,8.6,10,7.4,2.6,0.8
55–64 years,8.8,22.7,28,8.8,15.6,8,2,0.9
65 years and over,8.7,14.1,28.4,7.5,11.9,7.2,1.6,0.2
State or territory of usual residence,,,,,,,,
New South Wales,5.7,13.4,20.8,4.8,10.6,4.3,1.8,0.2
Victoria,8.2,11,16.8,5.2,8.6,4.7,2,0.2
Queensland,7,21.8,27.6,7.3,15.8,5.9,1.8,0.2
South Australia,8.7,17,25.1,7.4,12.6,7.3,3.2,0.3
Western Australia,8.8,19.3,31.6,6.9,14.4,7,2.9,0.3
Tasmania,7.6,10.5,20.1,5.8,9.7,5.3,2.9,0.2
Northern Territory,9.9,15.5,41.2,7.7,14,7.5,3.9,0.4
Australian Capital Territory,7.6,14.5,30.6,7.1,12.1,6.3,3.9,0.4
Total,3,7.2,10.2,2.7,4.6,2.5,1,0
PROPORTION OF MALES (RSE (%),,,,,,,,
Age group (years),,,,,,,,
15–24 years,6,14.7,,5.1,13.3,4.8,3.6,0
25–34 years,4.3,21.6,31.9,4.7,16.5,4.3,2,0
35–44 years,8.2,13.4,12.8,6.2,8.3,5.4,2.3,0
45–54 years,10.7,15.3,19.6,8.5,10,7.4,2.5,0
55–64 years,8.8,22.7,27.9,8.7,15.5,8,1.7,0
65 years and over,8.7,14.1,28.4,7.5,11.9,7.2,1.6,0
State or territory of usual residence,,,,,,,,
New South Wales,5.7,13.4,20.8,4.8,10.6,4.3,1.8,0
Victoria,8.2,11,16.8,5.2,8.6,4.7,2,0
Queensland,7,21.8,27.6,7.3,15.8,5.9,1.8,0
South Australia,8.7,17,25.1,7.4,12.6,7.3,3.2,0
Western Australia,8.8,19.3,31.6,6.9,14.4,7,2.9,0
Tasmania,7.6,10.5,20.1,5.8,9.7,5.3,2.9,0
Northern Territory,9.9,15.5,41.2,7.7,14,7.4,3.8,0
Australian Capital Territory,7.6,14.5,30.6,7.1,12.1,6.3,3.8,0
Total,3,7.2,10.2,2.7,4.6,2.5,1,0
NUMBER OF FEMALES (RSE (%),,,,,,,,
Age group (years),,,,,,,,
15–24,7,12.1,,4.8,10.3,5,4.3,0.6
25–34,6.1,18.1,25.2,6,14.5,5.8,2.7,0.8
35–44,7.3,12.5,13.2,6.8,8.6,5.6,2.6,0.4
45–54,10.5,21.1,17.1,8.2,17,7.7,2.3,0.1
55–64,6,17.5,36.3,5.3,15.9,5.5,1.3,0.1
65 and over,7.4,23.4,39.2,6.4,19.8,6.1,1.2,0.1
State or territory of usual residence,,,,,,,,
New South Wales,5.3,15.4,22.8,4.5,14.7,4.1,1.5,0.1
Victoria,7,17,23.3,5.8,13.2,5.3,2.2,0.1
Queensland,7.3,19.3,19.8,7.3,13.8,6.5,1.9,0.1
South Australia,8.1,25.3,32.4,7.9,18.6,7.4,2.4,0.2
Western Australia,7.5,20.7,21.7,6.1,15.7,5.8,2.3,0.2
Tasmania,7,17.3,16.1,5.3,11.4,4.9,2.3,0.2
Northern Territory,11.1,24.3,34.5,9.9,15.8,8.6,3.9,0.4
Australian Capital Territory,7.3,18.6,,6,15,5.5,3,0.3
Total,2.9,7.8,9.5,2.4,6.6,2.4,0.9,0
PROPORTION OF FEMALES (RSE (%),,,,,,,,
Age group (years),,,,,,,,
15–24,6.9,12.1,,4.7,10.2,4.9,4.2,0
25–34,6.1,18.1,25.2,5.9,14.4,5.7,2.6,0
35–44,7.3,12.5,13.2,6.8,8.6,5.5,2.6,0
45–54,10.5,21.1,17.1,8.2,17,7.7,2.3,0
55–64,6,17.5,36.3,5.3,15.9,5.5,1.3,0
65 and over,7.4,23.4,39.2,6.4,19.8,6.1,1.2,0
State or territory of usual residence,,,,,,,,
New South Wales,5.3,15.4,22.8,4.5,14.7,4,1.5,0
Victoria,7,17,23.3,5.8,13.2,5.3,2.2,0
Queensland,7.3,19.3,19.8,7.3,13.8,6.5,1.9,0
South Australia,8.1,25.3,32.4,7.9,18.6,7.4,2.4,0
Western Australia,7.5,20.7,21.7,6.1,15.7,5.8,2.3,0
Tasmania,7,17.3,16.1,5.3,11.4,4.9,2.3,0
Northern Territory,11.1,24.3,34.5,9.9,15.8,8.6,3.9,0
Australian Capital Territory,7.3,18.6,,6,15,5.5,3,0
Total,2.9,7.8,9.5,2.4,6.6,2.4,0.9,0
NUMBER OF PERSONS (RSE (%),,,,,,,,
Age group (years),,,,,,,,
15–24,4.4,8.9,32.3,3.7,8.5,3.6,3,0.4
25–34,3.7,14.6,22.1,3.6,11.2,3.4,1.7,0.4
35–44,5.4,9.4,8.2,4.1,5.9,3.6,1.5,0.3
45–54,8.3,12.1,12.2,6.4,9,5.5,1.7,0.4
55–64,4.3,13.9,21,4.3,11.7,4.3,0.9,0.5
65 and over,4.7,13.3,22.4,4.2,10.8,4,0.9,0.1
State or territory of usual residence,,,,,,,,
New South Wales,3.7,9,13.5,3.1,8.1,2.7,1.1,0.2
Victoria,5.3,9.5,12.8,3.8,7,3.4,1.4,0.1
Queensland,5.3,14.6,18.8,5.3,10.6,4.5,1.4,0.1
South Australia,6.8,13.8,17.3,5.4,10.7,5.5,2.1,0.1
Western Australia,5.5,14.8,21.7,4.1,10.3,4.4,1.8,0.1
Tasmania,5.1,9.8,12,4.4,7.9,4,2,0.1
Northern Territory,8.1,12.9,24.5,6.8,10.4,6.2,3,0.2
Australian Capital Territory,4.4,10,24,4.3,10.3,4,2.3,0.2
Total,2.2,4.5,5.9,2,3.6,1.9,0.7,0
PROPORTION OF PERSONS (RSE (%),,,,,,,,
Age group (years),,,,,,,,
15–24,4.4,8.9,32.3,3.7,8.5,3.6,3,0
25–34,3.6,14.6,22.1,3.6,11.2,3.3,1.6,0
35–44,5.4,9.4,8.2,4.1,5.9,3.6,1.5,0
45–54,8.3,12.1,12.2,6.4,8.9,5.5,1.7,0
55–64,4.3,13.9,21,4.3,11.7,4.3,0.8,0
65 and over,4.7,13.3,22.4,4.2,10.8,4,0.8,0
State or territory of usual residence,,,,,,,,
New South Wales,3.7,9,13.5,3.1,8.1,2.7,1.1,0
Victoria,5.3,9.5,12.8,3.8,7,3.4,1.4,0
Queensland,5.3,14.6,18.8,5.3,10.6,4.5,1.4,0
South Australia,6.8,13.8,17.3,5.4,10.7,5.5,2.1,0
Western Australia,5.5,14.8,21.7,4.1,10.3,4.4,1.8,0
Tasmania,5.1,9.8,12,4.4,7.9,4,2,0
Northern Territory,8.1,12.9,24.5,6.8,10.4,6.2,3,0
Australian Capital Territory,4.4,10,24,4.3,10.3,4,2.3,0
Total,2.2,4.5,5.9,2,3.6,1.9,0.7,0
,,,,,,,,
,,,,,,,,
© Commonwealth of Australia 2015,,,,,,,,
