Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"41770DO001_201314  Involvement in Organised Sport and Physical Activity, Australia, 2013-14",,,,
Released at 11:30 am (Canberra time) Wednesday 18 Feburary 2015,,,,
"Table 4 PERSONS INVOLVED IN ORGANISED SPORT AND PHYSICAL ACTIVITY, Payment status, By state or territory and type of role",,,,
,Some paid involvement,Unpaid involvement only,Total persons involved,Proportion with some paid involvement
Type of role,'000,'000,'000,%
NEW SOUTH WALES,,,,
Playing role,33.7,1550.4,1577.9,2.1
Non-playing roles,,,,
"Coach, instructor or teacher",51.7,157.2,204.5,25.3
Referee or umpire/Scorer or timekeeper/Medical support,44,122.3,154.3,28.5
Other non-playing roles,22.1,136.7,162.9,13.6
Total,111.9,1568.5,1688.4,6.6
VICTORIA,,,,
Playing role,43.7,1201,1244.7,3.5
Non-playing roles,,,,
"Coach, instructor or teacher",65.3,129.2,184.4,35.4
Referee or umpire/Scorer or timekeeper/Medical support,38.8,177.3,220.1,17.6
Other non-playing roles,14.9,133.8,146.8,10.2
Total,123.2,1278.1,1394.4,8.8
QUEENSLAND,,,,
Playing role,21.5,768.5,783.4,2.7
Non-playing roles,,,,
"Coach, instructor or teacher",16.1,83.7,96.6,16.6
Referee or umpire/Scorer or timekeeper/Medical support,10.5,57.4,58.7,17.9
Other non-playing roles,11.4,49.7,61.8,18.5
Total,32.7,819.5,860.1,3.8
SOUTH AUSTRALIA,,,,
Playing role,13.5,315.2,325.4,4.1
Non-playing roles,,,,
"Coach, instructor or teacher",19.9,31.8,52.2,38.1
Referee or umpire/Scorer or timekeeper/Medical support,15.3,56,78.2,19.6
Other non-playing roles,5.6,51.8,57.4,9.8
Total,40.9,335.2,372.9,11
WESTERN AUSTRALIA,,,,
Playing role,16.6,516.1,522.4,3.2
Non-playing roles,,,,
"Coach, instructor or teacher",15.9,59.2,72.3,22
Referee or umpire/Scorer or timekeeper/Medical support,6.3,53,70.2,9
Other non-playing roles,6.3,61.1,66.8,9.4
Total,38,543.3,574.7,6.6
TASMANIA,,,,
Playing role,3.4,121.5,124.5,2.8
Non-playing roles,,,,
"Coach, instructor or teacher",3.8,13.5,15.7,23.8
Referee or umpire/Scorer or timekeeper/Medical support,4.6,20.8,24.4,18.8
Other non-playing roles,1,17.4,19.4,5.4
Total,8.4,128.9,137.7,6.1
NORTHERN TERRITORY,,,,
Playing role,1.7,42.3,43.4,3.8
Non-playing roles,,,,
"Coach, instructor or teacher",0.3,6.4,6.8,4.9
Referee or umpire/Scorer or timekeeper/Medical support,0.8,6.2,7.1,10.9
Other non-playing roles,0.4,5.2,4.8,8.8
Total,1.9,44.3,46.7,4.2
AUSTRALIAN CAPITAL TERRITORY,,,,
Playing role,4.5,99.1,103,4.4
Non-playing roles,,,,
"Coach, instructor or teacher",3.8,8.6,11.4,33.2
Referee or umpire/Scorer or timekeeper/Medical support,3.3,6.5,9.2,36.2
Other non-playing roles,0,7.8,7.8,0
Total,7.7,101.4,109.6,7
AUSTRALIA,,,,
Playing role,132.8,4599.1,4727,2.8
Non-playing roles,,,,
"Coach, instructor or teacher",170.7,472.5,651,26.2
Referee or umpire/Scorer or timekeeper/Medical support,131.9,498.8,638,20.7
Other non-playing roles,51.3,458.6,514.5,10
Total,352.7,4822.7,5180.1,6.8
,,,,
,,,,
© Commonwealth of Australia 2015,,,,
