Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
1,Max Aarons,eng ENG,DF,Bournemouth,24.0,2000.0,3,1,86,1.0,0,0,0
2,Joshua Acheampong,eng ENG,DF,Chelsea,18.0,2006.0,4,2,170,1.9,0,0,0
3,Tyler Adams,us USA,MF,Bournemouth,25.0,1999.0,28,21,1965,21.8,0,3,3
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,26.0,1997.0,22,15,1409,15.7,1,1,2
5,Simon Adingra,ci CIV,"FW,MF",Brighton,22.0,2002.0,29,12,1097,12.2,2,2,4
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27.0,1997.0,16,16,1410,15.7,1,0,1
7,Asher Agbinone,eng ENG,MF,Crystal  Palace,18.0,2005.0,2,0,6,0.1,0,0,0
8,Ola Aina,ng NGA,DF,Nott'ham  Forest,27.0,1996.0,35,35,2995,33.3,2,1,3
9,Rayan AÃ¯t-Nouri,dz ALG,DF,Wolves,23.0,2001.0,37,37,3109,34.5,4,7,11
10,Kristoffer Ajer,no NOR,DF,Brentford,26.0,1998.0,24,17,1438,16.0,0,0,0
11,Manuel Akanji,ch SUI,DF,Manchester  City,29.0,1995.0,26,23,2014,22.4,0,0,0
12,Nathan AkÃ©,nl NED,DF,Manchester  City,29.0,1995.0,10,8,678,7.5,0,0,0
13,Carlos Alcaraz,ar ARG,MF,Southampton,21.0,2002.0,1,0,10,0.1,0,0,0
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25.0,1998.0,33,28,2365,26.3,3,6,9
16,Alisson,br BRA,GK,Liverpool,31.0,1992.0,28,28,2508,27.9,0,0,0
17,Miguel AlmirÃ³n,py PAR,FW,Newcastle  Utd,30.0,1994.0,9,1,157,1.7,0,0,0
19,Edson Ãlvarez,mx MEX,MF,West Ham,26.0,1997.0,28,20,1772,19.7,0,1,1
20,Will Alves,eng ENG,FW,Leicester  City,19.0,2005.0,1,0,1,0.0,0,0,0
21,Harry Amass,eng ENG,DF,Manchester  Utd,17.0,2007.0,5,4,346,3.8,0,0,0
22,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18.0,2006.0,2,0,28,0.3,0,0,0
23,Mathis Amougou,fr FRA,MF,Chelsea,18.0,2006.0,1,0,8,0.1,0,0,0
24,Joachim Andersen,dk DEN,DF,Crystal  Palace,28.0,1996.0,1,1,90,1.0,0,0,0
26,Elliot Anderson,eng ENG,MF,Nott'ham  Forest,21.0,2002.0,37,33,2728,30.3,2,6,8
27,AndrÃ©,br BRA,MF,Wolves,23.0,2001.0,33,31,2472,27.5,0,0,0
28,Michail Antonio,jm JAM,FW,West Ham,34.0,1990.0,14,11,836,9.3,1,1,2
29,Antony,br BRA,"DF,MF",Manchester  Utd,24.0,2000.0,8,0,141,1.6,0,0,0
30,Julian Araujo,mx MEX,DF,Bournemouth,22.0,2001.0,12,7,497,5.5,0,0,0
31,Cameron Archer,eng ENG,FW,Southampton,23.0,2001.0,35,13,1441,16.0,2,0,2
32,Alphonse Areola,fr FRA,GK,West Ham,31.0,1993.0,26,25,2260,25.1,0,0,0
33,Joe Aribo,ng NGA,"MF,DF",Southampton,28.0,1996.0,32,21,2013,22.4,3,0,3
34,Adam Armstrong,eng ENG,"FW,MF",Southampton,27.0,1997.0,20,15,1248,13.9,2,2,4
35,Harrison Armstrong,eng ENG,MF,Everton,17.0,2007.0,3,0,48,0.5,0,0,0
36,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29.0,1994.0,31,31,2790,31.0,0,0,0
37,Marco Asensio,es ESP,MF,Aston Villa,28.0,1996.0,13,9,743,8.3,3,1,4
38,Brandon Austin,eng ENG,GK,Tottenham,25.0,1999.0,1,1,90,1.0,0,0,0
39,Taiwo Awoniyi,ng NGA,FW,Nott'ham  Forest,26.0,1997.0,26,3,416,4.6,1,0,1
40,Yasin Ayari,se SWE,MF,Brighton,20.0,2003.0,34,22,1965,21.8,2,1,3
41,Jordan Ayew,gh GHA,"FW,MF",Crystal  Palace,32.0,1991.0,1,0,21,0.2,0,0,0
43,BenoÃ®t Badiashile,fr FRA,DF,Chelsea,23.0,2001.0,5,3,334,3.7,0,0,0
44,Leon Bailey,jm JAM,"FW,MF",Aston Villa,26.0,1997.0,24,14,1139,12.7,1,2,3
45,Carlos Baleba,cm CMR,MF,Brighton,20.0,2004.0,34,31,2661,29.6,3,1,4
46,Ross Barkley,eng ENG,MF,Aston Villa,30.0,1993.0,20,3,581,6.5,3,1,4
